mass,gains,costs
31.622776601683793,3997.94516718766,5456.670610812626
39.810717055349734,5041.300726144875,6534.969510823807
50.11872336272722,6340.04614254691,7827.134863317349
63.09573444801933,7950.18264872637,9375.890679914772
79.43282347242814,9968.898278083214,11231.187533689621
100.0,12465.988875146568,13455.246335848085
125.89254117941675,15571.0898808702,16120.708932516343
158.48931924611142,19423.54462167322,19315.385910569545
199.52623149688787,24206.891797356475,23144.295171215006
251.18864315095797,30088.766189776325,27736.119835850273
316.22776601683796,37427.862926045535,33237.59556277797
398.1071705534973,46469.789101095615,39834.46316229495
501.18723362727246,57720.01004523806,47738.90671769484
630.957344480193,71509.1634832129,57220.215960567904
794.3282347242813,88646.50167548677,68580.47455696347
1000.0,109834.24678387032,82197.31118705662
1258.9254117941675,135846.47617914784,98527.13661328155
1584.893192461114,168071.9276566838,118094.61001598975
1995.2623149688789,207647.10466739757,141558.2657072095
2511.88643150958,256570.5745585888,169674.92934396112
3162.2776601683795,316663.0299224189,203384.3320386224
3981.0717055349733,390747.79323182534,243781.908187636
5011.872336272725,482457.4065074719,292155.59220509755
6309.57344480193,594379.7686186968,350193.31153862114
7943.282347242814,732717.1721509933,419685.1948997565
10000.0,902480.3463952389,502967.5389930385
12589.254117941662,1.1113820122824383e6,602719.523279746
15848.93192461114,1.3674994588110829e6,722253.8917905807
19952.62314968879,1.6822448918900948e6,865408.2684936353
25118.864315095823,2.070513504235839e6,1.0366728355457223e6
