mass,gains,costs
31.622776601683793,7397.28110029457,5324.945382171868
39.810717055349734,9281.59904730356,6366.237971371181
50.11872336272722,11611.644566348541,7611.678838910063
63.09573444801933,14499.412131612695,9100.985590853246
79.43282347242814,18101.0522242536,10880.681747011671
100.0,22523.69907825823,13009.985199866447
125.89254117941675,28000.475124268283,15555.577127875416
158.48931924611142,34771.13938520488,18598.403480716977
199.52623149688787,43013.59909765843,22219.285776315864
251.18864315095797,52710.10861627702,26471.95852723631
316.22776601683796,64276.56412370365,31482.17130028447
398.1071705534973,78345.78838841054,37472.82896256352
501.18723362727246,95507.68133936462,44595.52998975746
630.957344480193,116429.27353263716,53084.32622235001
794.3282347242813,141913.1236793985,63209.59998336338
1000.0,173009.19483502032,75263.22284639848
1258.9254117941675,210894.16884738064,89639.55761946489
1584.893192461114,257046.59253737194,106737.52345046983
1995.2623149688789,313381.6480764586,127176.76296168943
2511.88643150958,381962.7362002369,151500.21777863803
3162.2776601683795,465607.22011273814,180502.17360225465
3981.0717055349733,567650.2498517621,215089.31274269026
5011.872336272725,691895.3467292867,256330.48261680597
6309.57344480193,843486.2938649138,305598.21085546195
7943.282347242814,1.02806824257453e6,364241.746834649
10000.0,1.2533191498090134e6,434102.3192392034
12589.254117941662,1.5276270366742716e6,517425.19700597157
15848.93192461114,1.8624685314831869e6,616781.9083368029
19952.62314968879,2.2703254353076327e6,735552.4932544618
25118.864315095823,2.767045604570898e6,876728.4323991871
